Company,Exchange,Ticker,Industry,Year Founded,Locations,Number of Employees,S&P Credit Rating (FC LT),S&P Credit Rating (LC LT),Type,NOSH,Price ($USD),Total Enterprise Value ($USDmm),Total Revenue ($USDmm),Gross Profit ($USDmm),EBITDA ($USDmm),EBIT ($USDmm),Net Income ($USDmm),Cash And Equivalents ($USDmm),"Net Property, Plant & Equipment ($USDmm)",Total Assets ($USDmm),Total Debt ($USDmm),Total Equity ($USDmm),Basic EPS ($USD),EPS - Capital IQ ($USD),EPS - # of Estimates Y+1,EBITDA Estimate ($USDmm),EBITDA - # of Estimates Y+1,EBIT Estimate ($USDmm),EBIT - # of Estimates Y+1,Market Cap ($USDmm),TEV/Revenue,TEV/EBITDA,TEV/EBIT,P/E
Adevinta ASA ,OB,ADE,Communication Services,2018,EU,8100,BB-,BB-,Public Company,1216.7,7.5,11516.7,1295.3,1027.5,347.7,245.5,62.2,262.7,133.1,16202.7,2906.9,11811.7,0.057,0.196,21,585.3,19,311.41,20,9125.25,8.891144908515402,33.12251941328732,46.911201629327905,131.57894736842104
Hyundai Steel Company ,KOSE,A004020,Materials,1953,APAC,11156,BBB,BBB,Public Company,131.5,24.75,11464.0,19182.9,3241.0,3648.4,2338.9,1422.3,1159.3,16872.3,31097.7,10944.1,15329.9,10.8,5.69,14,2884.0,16,1793.0,17,3254.625,0.5976155847134688,3.1421993202499725,4.901449399290264,2.2916666666666665
Lenovo Group Limited ,SEHK,992,Information Technology,1984,APAC,75000,BBB-,BBB-,Public Company,12128.1,0.877,11432.5,71618.2,12094.1,4153.5,3224.3,2079.5,3930.3,2986.1,44510.4,3829.3,5394.7,0.17800000000000002,0.154,13,4110.0,14,2926.3,16,10636.3437,0.1596312110608756,2.7524978933429636,3.5457308563098966,4.926966292134831
"Southwest Gas Holdings, Inc. ",NYSE,SWX,Utilities,1931,US/CA,12720,BBB-,BBB-,Public Company,67.0,80.97,11424.7,3680.5,896.6,801.5,376.1,148.0,222.7,8760.6,12765.3,6438.7,3150.5,2.39,2.82,3,1113.3,4,588.88,3,5424.99,3.104116288547752,14.254148471615721,30.37676149960117,33.87866108786611
"Vail Resorts, Inc. ",NYSE,MTN,Consumer Discretionary,1997,US/CA,6100,BB,BB,Public Company,40.3,238.4,11405.6,1909.7,1182.3,810.1,557.6,315.8,1244.0,2272.6,6251.1,3088.5,1829.1,7.8,8.81,10,914.3,10,642.33,10,9607.52,5.972456406765461,14.07924947537341,20.45480631276901,30.564102564102566
Olin Corporation ,NYSE,OLN,Materials,1892,US/CA,7750,BB+,BB+,Public Company,145.2,58.36,11316.9,8910.6,2608.7,2831.9,2236.1,1512.4,180.5,3286.0,8517.7,3158.1,2652.2,9.73,8.19,12,2344.7,12,1806.97,10,8473.872,1.2700491549390613,3.9962216179949857,5.060999060864899,5.997944501541624
Kohl's Corporation ,NYSE,KSS,Consumer Discretionary,1988,US/CA,99000,BBB-,BBB-,Public Company,128.5,30.4,11275.2,19433.0,7651.0,2008.0,1185.0,699.0,1587.0,9552.0,15054.0,6785.0,4661.0,5.26,3.19,16,1616.5,11,790.81,14,3906.3999999999996,0.5802089229660886,5.615139442231076,9.51493670886076,5.779467680608365
"DICK'S Sporting Goods, Inc. ",NYSE,DKS,Consumer Discretionary,1948,US/CA,34300,BBB,BBB,Public Company,79.2,110.22,11262.8,12293.4,4422.3,2047.5,1721.8,1241.7,2643.2,3364.5,9041.7,4510.2,2101.6,15.8,11.9,25,1679.4,14,1371.48,20,8729.424,0.9161663982299445,5.50075702075702,6.541293994656754,6.9759493670886075
Neoenergia S.A. ,BOVESPA,NEOE3,Utilities,1997,LATAM,15058,BB-,BB-,Public Company,1213.8,3.32,11218.0,7747.2,2004.5,2324.5,1964.2,803.4,995.2,1740.6,15399.2,7017.6,4350.2,0.662,0.401,7,1899.0,11,1442.56,10,4029.816,1.4480070218917802,4.825984082598408,5.711231035536096,5.015105740181268
"EnLink Midstream, LLC ",NYSE,ENLC,Energy,2013,US/CA,1073,BB+,BB+,Public Company,478.9,11.02,11214.9,6845.0,1823.6,1186.7,570.2,177.2,26.2,6448.4,8483.2,4448.9,2987.0,0.364,0.535,4,1322.0,7,674.61,1,5277.477999999999,1.638407596785975,9.450492963680794,19.66836197825324,30.274725274725274
Jabil Inc. ,NYSE,JBL,Information Technology,1966,US/CA,238000,BBB-,BBB-,Public Company,137.6,64.16,11208.5,29285.0,2490.0,2196.0,1282.0,856.0,1567.0,4465.0,16654.0,3658.0,2137.0,5.97,7.83,8,2570.6,7,1610.98,6,8828.416,0.38273860338057025,5.104052823315119,8.742979719188767,10.747068676716918
"Tapestry, Inc. ",NYSE,TPR,Consumer Discretionary,1941,US/CA,15350,BBB-,BBB-,Public Company,241.2,36.77,11181.3,6684.5,4650.4,1413.9,1218.6,856.3,789.8,1826.0,7265.3,3264.9,2285.5,3.24,3.84,18,1419.4,13,1214.52,17,8868.924,1.6727204727354326,7.908126458731168,9.175529295913343,11.348765432098766
"Osaka Gas Co., Ltd. ",TSE,9532,Utilities,1897,APAC,20961,AA-,AA-,Public Company,415.6,17.26,11158.4,13067.8,2688.2,1332.0,476.3,794.3,1079.5,9521.9,21162.3,6581.5,10574.7,1.91,1.22,5,1361.9,3,660.4,5,7173.256000000001,0.853885122208788,8.377177177177177,23.427251732101617,9.036649214659686
OCI N.V. ,ENXTAM,OCI,Materials,2013,EU,3816,BBB-,BBB-,Public Company,210.3,40.86,11135.7,6318.7,3395.2,3610.2,3090.6,1212.0,1580.3,5791.7,9811.6,4078.0,3508.2,5.77,6.48,5,3436.4,5,2745.59,7,8592.858,1.7623403548198207,3.0845105534319432,3.603086779266162,7.081455805892548
Lear Corporation ,NYSE,LEA,Consumer Discretionary,1917,US/CA,160100,BBB-,BBB-,Public Company,59.4,145.07,11122.1,19263.1,1296.8,1200.9,623.0,112.9,1318.3,3348.0,13352.4,3245.2,4808.4,1.89,12.5,19,1777.6,15,1147.66,17,8617.158,0.5773785112468918,9.261470563743858,17.852487961476726,76.75661375661376
PLDT Inc. ,PSE,TEL,Communication Services,1928,APAC,17620,BBB+,BBB+,Public Company,216.1,30.3,11053.4,3753.3,2794.1,1729.2,603.1,548.9,464.3,6269.5,12164.1,5326.6,2627.8,2.54,3.0,3,1891.2,8,837.41,9,6547.83,2.9449817493938664,6.392204487624334,18.32764052395954,11.929133858267717
"Mattel, Inc. ",NasdaqGS,MAT,Consumer Discretionary,1945,US/CA,36300,BB+,BB+,Public Company,353.3,23.73,11040.8,5457.7,2768.2,1056.5,873.3,1108.8,731.4,781.5,6393.9,2928.4,1568.8,3.15,1.63,14,1137.0,10,929.94,10,8383.809000000001,2.022976711801675,10.450354945575011,12.642619947326233,7.533333333333334
Owens Corning ,NYSE,OC,Industrials,1938,US/CA,20000,BBB,BBB,Public Company,96.2,89.63,11036.9,8498.0,2534.0,2134.0,1627.0,1134.0,959.0,4126.0,10015.0,3143.0,4335.0,11.3,11.6,19,2190.8,16,1656.37,15,8622.405999999999,1.2987644151565074,5.171930646672915,6.78358942839582,7.931858407079645
"Floor & Decor Holdings, Inc. ",NYSE,FND,Consumer Discretionary,2000,US/CA,7593,BB-,BB-,Public Company,106.0,89.25,11027.6,3433.5,1592.6,482.1,345.5,277.3,139.4,2032.8,3730.7,1423.5,1323.2,2.63,3.08,20,620.4,13,447.38,17,9460.5,3.2117664191058686,22.874092511926985,31.9178002894356,33.93536121673004
"Post Holdings, Inc. ",NYSE,POST,Consumer Staples,1895,US/CA,10735,B+,B+,Public Company,59.8,88.98,11027.5,6226.7,1793.6,998.5,591.3,702.6,817.1,1964.6,12414.7,7557.3,3059.2,11.3,3.24,8,1001.8,7,598.56,5,5321.004,1.7710022965615817,11.044066099148724,18.64958565871808,7.874336283185841
"Ryder System, Inc. ",NYSE,R,Industrials,1933,US/CA,42800,BBB,BBB,Public Company,51.2,83.17,10973.1,9663.0,2126.0,2838.3,1079.4,734.1,234.0,1326.1,13834.3,6935.5,2797.9,14.2,12.5,8,2925.0,6,1057.3,4,4258.304,1.1355790127289662,3.866081809533876,10.16592551417454,5.8570422535211275
"Dynatrace, Inc. ",NYSE,DT,Information Technology,2005,US/CA,3600,BB+,BB+,Public Company,287.3,39.0,10938.4,929.4,816.7,119.3,79.2,41.3,463.0,104.1,2541.3,338.8,1304.4,0.145,0.784,19,277.7,3,276.48,16,11204.7,11.769313535614375,91.68818105616094,138.11111111111111,268.9655172413793
"Macy's, Inc. ",NYSE,M,Consumer Discretionary,1830,US/CA,88857,BB,BB,Public Company,271.1,19.06,10870.2,25292.0,10560.0,2930.0,2325.0,1543.0,1712.0,8473.0,17590.0,6826.0,3621.0,5.33,3.68,16,2304.7,11,1412.76,12,5167.166,0.4297880752807212,3.7099658703071676,4.675354838709678,3.5759849906191365
"Cable One, Inc. ",NYSE,CABO,Communication Services,1980,US/CA,3628,BB,BB,Public Company,5.88,1241.21,10857.7,1605.8,1239.3,874.8,512.9,357.8,388.8,1869.6,6954.0,3972.9,1793.1,59.6,53.9,1,949.6,6,558.46,3,7298.3148,6.761551874455101,12.411636945587563,21.169233768765842,20.825671140939598
Solvay SA ,ENXTBR,SOLB,Materials,1863,EU,21000,BBB,BBB,Public Company,103.6,81.62,10801.4,13003.5,3555.3,2751.4,1996.7,1740.5,1070.2,6151.5,22801.1,3808.7,10067.1,16.8,11.1,9,2560.5,12,1704.09,7,8455.832,0.8306532856538624,3.925783237624482,5.409625882706465,4.858333333333333
KION GROUP AG ,XTRA,KGX,Industrials,2006,EU,40804,BBB-,BBB-,Public Company,131.1,39.76,10795.1,11707.4,2559.5,1507.0,614.5,456.4,549.3,3707.6,18026.7,5861.4,5878.3,3.48,2.71,15,1630.9,17,544.22,16,5212.535999999999,0.9220749269692674,7.163304578633046,17.567290480065093,11.425287356321839
Churchill Downs Incorporated ,NasdaqGS,CHDN,Consumer Discretionary,1875,US/CA,4400,BB,BB,Public Company,37.0,213.24,10793.5,1597.2,521.6,464.5,372.4,486.1,291.3,994.9,2981.6,2006.0,306.8,12.7,10.3,3,904.4,6,567.88,5,7889.88,6.757763586275983,23.236813778256188,28.983619763694954,16.790551181102362
Amdocs Limited ,NasdaqGS,DOX,Information Technology,1988,US/CA,27176,BBB,BBB,Public Company,122.0,87.95,10778.6,4288.6,1583.9,874.0,647.4,544.1,709.1,766.4,6511.8,881.2,3635.2,4.39,5.66,5,1041.0,4,832.44,3,10729.9,2.5133143683253274,12.332494279176203,16.6490577695397,20.034168564920275
CTP N.V. ,ENXTAM,CTPNV,Real Estate,1998,EU,520,BBB-,BBB-,Public Company,441.2,13.67,10751.9,463.3,402.9,307.9,297.2,1394.5,1015.4,9621.6,11016.3,5148.3,4670.6,3.38,0.6890000000000001,4,430.8,2,447.78,1,6031.204,23.207209151737533,34.92010392984736,36.177321668909826,4.044378698224852
Sojitz Corporation ,TSE,2768,Industrials,2003,APAC,20673,BBB-,BBB-,Public Company,230.8,16.94,10668.5,17299.5,1996.6,819.3,555.3,813.6,2325.8,2233.1,21918.7,9356.4,6290.5,3.51,3.05,7,930.3,3,727.09,2,3909.7520000000004,0.6166941241076331,13.021481752715733,19.212137583288314,4.8262108262108265
Range Resources Corporation ,NYSE,RRC,Energy,1976,US/CA,527,BB,BB,Public Company,239.8,34.45,10643.9,3580.4,3027.2,1237.7,868.9,537.1,214.4,5799.0,6660.5,2969.7,2085.7,2.16,5.69,22,2357.7,12,2051.74,7,8261.11,2.9728242654452015,8.599741455926313,12.24985613994706,15.949074074074074
NEXT plc ,LSE,NXT,Consumer Discretionary,1864,EU,26836,BBB,BBB,Public Company,124.0,69.6,10605.3,6210.6,2664.3,1323.9,1184.0,909.6,514.2,1665.1,5345.8,2827.9,1356.0,7.13,6.59,13,1370.9,12,1087.08,16,8630.4,1.7076127910346823,8.010650351234986,8.957179054054054,9.76157082748948
"Juniper Networks, Inc. ",NYSE,JNPR,Information Technology,1996,US/CA,10191,BBB,BBB,Public Company,322.6,30.38,10597.9,4735.4,2786.1,688.5,460.5,390.9,922.5,864.3,8887.0,1878.7,4316.9,1.21,2.02,19,1079.4,5,863.91,17,9800.588,2.2380157959200915,15.39273783587509,23.01389793702497,25.107438016528924
International Game Technology PLC ,NYSE,IGT,Consumer Discretionary,2014,EU,10393,BB+,BB+,Public Company,202.3,20.12,10596.1,4089.0,1928.0,1363.0,883.0,160.0,591.0,1368.0,11322.0,6874.0,1971.0,0.784,1.4,6,1587.2,9,809.88,7,4070.2760000000003,2.5913670824162387,7.7741012472487165,12.000113250283126,25.66326530612245
Flex Ltd. ,NasdaqGS,FLEX,Information Technology,1990,APAC,172648,BBB-,BBB-,Public Company,456.1,18.74,10579.0,26041.0,2011.0,1486.9,1004.0,919.0,2964.0,2762.0,19325.0,4884.4,4207.0,1.97,2.16,9,1846.8,7,1384.41,7,8547.314,0.4062439998463961,7.114802609455914,10.536852589641434,9.512690355329948
YPF Sociedad Anónima ,BASE,YPFD,Energy,1977,LATAM,20317,CCC+,CCC+,Public Company,393.3,12.05,10555.9,12380.2,3192.0,3806.5,1595.2,1333.9,610.4,16510.9,23274.4,7915.4,8258.9,3.39,2.73,2,4174.9,5,1108.8,5,4739.265,0.852643737580976,2.7731249179035857,6.617289368104313,3.554572271386431
Cameco Corporation ,TSX,CCO,Energy,1987,US/CA,670,BBB-,BBB-,Public Company,398.4,27.22,10552.9,1165.5,422.9,334.0,160.1,49.3,985.7,2826.3,5940.6,804.5,3829.3,0.12300000000000001,0.325,12,505.5,5,131.79,1,10844.447999999999,9.054397254397253,31.595508982035927,65.91442848219863,221.30081300813006
Beijing Enterprises Holdings Limited ,SEHK,392,Utilities,1997,APAC,37000,BBB+,BBB+,Public Company,1261.3,3.03,10549.0,10315.2,1575.0,1060.0,438.1,1272.0,4262.6,8092.8,28575.2,9357.0,13987.0,1.01,0.835,5,1566.8,5,674.73,6,3821.7389999999996,1.0226655808903364,9.95188679245283,24.078977402419536,3.0
AGCO Corporation ,NYSE,AGCO,Industrials,1990,US/CA,23300,BBB-,BBB-,Public Company,74.6,115.26,10527.2,11138.3,2631.2,1304.9,1027.5,792.9,889.1,1618.9,9182.1,1671.7,3443.8,10.6,12.7,18,1585.9,14,1352.62,16,8598.395999999999,0.9451352540333805,8.067438117863437,10.245450121654502,10.873584905660378
NCR Corporation ,NYSE,NCR,Information Technology,1881,US/CA,38000,B+,B+,Public Company,136.9,33.94,10523.4,7156.0,1965.0,1135.0,716.0,83.0,447.0,1122.0,11641.0,6076.0,1533.0,0.5,3.29,7,1547.4,7,975.57,5,4646.3859999999995,1.4705701509223028,9.271718061674008,14.697486033519553,67.88
OMRON Corporation ,TSE,6645,Information Technology,1933,APAC,29020,A,A,Public Company,199.6,55.74,10513.7,6282.6,2501.4,730.0,555.0,362.0,1280.4,1332.8,7663.7,495.1,5500.7,1.81,2.53,14,856.6,13,702.02,15,11125.704,1.6734632158660427,14.402328767123288,18.943603603603606,30.795580110497237
Tele2 AB (publ) ,OM,TEL2 B,Communication Services,1993,EU,4435,BBB,BBB,Public Company,691.0,10.83,10495.1,2962.7,1080.1,972.1,491.0,526.6,97.3,1463.5,8211.7,3410.5,3444.1,0.763,0.474,12,1092.6,13,552.28,17,7483.53,3.5424106389442067,10.796317251311594,21.374949083503054,14.19397116644823
"Arrow Electronics, Inc. ",NYSE,ARW,Information Technology,1935,US/CA,20700,BBB-,BBB-,Public Company,64.2,111.38,10462.3,34477.0,4715.9,2150.0,1958.2,1396.3,222.2,950.8,19535.5,2915.8,5340.8,20.3,20.5,8,2097.0,7,1849.12,9,7150.5960000000005,0.3034573773820228,4.866186046511627,5.342814829945868,5.4866995073891625
E-MART Inc. ,KOSE,A139480,Consumer Staples,1993,APAC,24806,BBB-,BBB-,Public Company,26.8,75.27,10391.0,20931.4,5901.6,1227.2,159.3,1353.1,848.1,10949.4,26228.3,8520.8,10410.2,49.0,16.7,11,1160.0,19,283.0,13,2017.2359999999999,0.4964311990597857,8.467242503259452,65.22912743251726,1.5361224489795917
Tingyi (Cayman Islands) Holding Corp. ,SEHK,322,Consumer Staples,1992,APAC,64124,A-,A-,Public Company,5632.8,1.76,10310.7,11661.7,3329.4,898.9,496.1,450.9,2493.2,3967.2,9493.6,2206.5,3527.5,0.08,0.08900000000000001,17,1190.5,20,756.76,18,9913.728000000001,0.8841506812900349,11.470352653242854,20.783511388832896,22.0
Marriott Vacations Worldwide Corporation ,NYSE,VAC,Consumer Discretionary,2011,US/CA,20300,BB-,BB-,Public Company,39.3,150.57,10309.3,2762.0,1790.0,810.0,676.0,265.0,342.0,1232.0,9613.0,4613.0,2986.0,6.25,10.9,6,981.9,4,862.57,2,5917.400999999999,3.732548877624909,12.72753086419753,15.250443786982247,24.0912
Allegion plc ,NYSE,ALLE,Industrials,2013,EU,11000,BBB,BBB,Public Company,87.8,103.32,10289.2,2867.4,1192.1,610.2,540.4,464.4,397.9,373.6,3051.0,1534.5,762.4,5.24,5.79,13,763.7,8,669.48,12,9071.496,3.5883378670572648,16.86201245493281,19.039970392302,19.717557251908396
Euronext N.V. ,ENXTPA,ENX,Financials,2000,EU,2198,BBB,BBB,Public Company,106.6,76.84,10262.6,1476.9,1558.8,848.9,755.9,513.5,914.8,186.2,165891.7,3563.6,4245.3,4.81,5.39,14,899.6,13,782.74,12,8191.144,6.948743990791523,12.089292024973496,13.576663579838604,15.975051975051977
Capri Holdings Limited ,NYSE,CPRI,Consumer Discretionary,1981,EU,12150,BBB-,BBB-,Public Company,138.0,51.83,10217.2,5654.0,3773.0,1172.0,984.0,804.0,169.0,1834.0,7480.0,3041.0,2558.0,5.46,7.07,20,1284.4,12,1070.54,17,7152.54,1.807074637424832,8.717747440273039,10.383333333333335,9.492673992673993
Pilgrim's Pride Corporation ,NasdaqGS,PPC,Consumer Staples,1946,US/CA,60000,BBB-,BBB-,Public Company,239.0,29.94,10201.1,14777.5,1943.1,2020.2,1619.7,740.0,427.7,3269.0,8913.2,3571.8,2588.9,3.05,3.6,5,1726.2,5,1268.77,5,7155.66,0.6903129758078159,5.04954954954955,6.298141631166265,9.816393442622951
Apartment Income REIT Corp. ,NYSE,AIRC,Real Estate,1994,US/CA,800,BBB,BBB,Public Investment Firm,154.2,43.54,10192.5,740.3,481.9,438.2,106.4,955.4,67.3,5066.6,6440.4,3797.3,2018.5,6.1,0.627,3,510.9,9,190.65,4,6713.8679999999995,13.76806699986492,23.259926973984484,95.79417293233082,7.137704918032787
Coca-Cola HBC AG ,LSE,CCH,Consumer Staples,1969,EU,33000,BBB+,BBB+,Public Company,366.4,23.34,10191.9,8152.4,2963.3,1269.9,938.5,485.7,890.3,3219.5,9683.0,3340.6,3545.0,1.33,1.55,12,1257.9,13,829.16,13,8551.776,1.2501717285707277,8.025750059059767,10.859776238678743,17.548872180451127
CCL Industries Inc. ,TSX,CCL.B,Materials,1951,US/CA,25100,BBB,BBB,Public Company,176.9,49.78,10168.2,4530.1,1282.9,894.5,651.8,475.1,475.8,1624.5,6027.5,1462.9,2960.9,2.65,2.91,11,1023.4,11,736.58,9,8806.082,2.244586212224896,11.367467859139184,15.600184105553852,18.78490566037736
Elisa Oyj ,HLSE,ELISA,Communication Services,1882,EU,5572,BBB+,BBB+,Public Company,160.3,54.4,10149.5,2272.1,937.9,723.8,470.5,376.1,129.8,959.5,3444.1,1516.1,1369.4,2.35,2.36,11,748.7,16,476.12,16,8720.32,4.467012895559175,14.022520033158331,21.57173219978746,23.148936170212764
Mr. Cooper Group Inc. ,NasdaqCM,COOP,Financials,2015,US/CA,8200,B+,B+,Public Company,71.7,45.17,10140.4,3318.0,3136.0,1709.0,1713.0,1263.0,895.0,209.0,14204.0,9285.0,3367.0,16.5,4.76,7,912.1,1,689.25,2,3238.6890000000003,3.0561784207353826,5.933528379169105,5.9196730881494455,2.7375757575757578
China SCE Group Holdings Limited ,SEHK,1966,Real Estate,1987,APAC,9770,B+,B+,Public Company,4223.0,0.087,10118.8,5940.5,1286.7,808.0,799.3,483.3,2467.9,187.2,30698.1,9191.7,6722.8,0.114,0.102,6,859.6,5,811.42,5,367.40099999999995,1.7033583031731334,12.523267326732672,12.65957712998874,0.763157894736842
Genpact Limited ,NYSE,G,Information Technology,1997,LATAM,114200,BBB-,BBB-,Public Company,183.5,47.72,10116.6,4022.2,1489.0,654.0,508.6,343.3,899.5,520.0,4975.3,2000.1,1897.1,1.84,2.84,11,870.2,7,745.02,7,8756.619999999999,2.5151906916612803,15.468807339449542,19.891073535194653,25.93478260869565
The Toro Company ,NYSE,TTC,Industrials,1914,US/CA,10982,BBB,BBB,Public Company,104.6,87.63,10070.1,3959.6,1327.4,570.0,466.9,357.1,405.6,554.7,2936.1,761.3,1151.1,3.37,4.63,5,780.6,4,649.29,4,9166.097999999998,2.5432114354985353,17.666842105263157,21.568001713429002,26.002967359050444
Mondi plc ,LSE,MNDI,Materials,1967,EU,27000,BBB+,BBB+,Public Company,485.0,17.19,10044.3,8783.1,3922.2,1968.4,1495.9,1333.9,537.9,5934.3,10532.2,2533.8,5560.1,2.75,1.74,7,1736.1,6,1313.8,7,8337.150000000001,1.143593947467295,5.102773826458036,6.714553111839026,6.250909090909091
Dexus ,ASX,DXS,Real Estate,2004,APAC,647,A-,A-,Public Investment Firm,1075.6,6.17,10030.2,1196.6,1003.2,883.4,874.9,1113.3,51.9,19.7,13223.2,3411.0,9347.7,1.03,0.446,8,610.1,7,613.22,9,6636.451999999999,8.382249707504597,11.354086484038941,11.46439593096354,5.990291262135922
"Far EasTone Telecommunications Co., Ltd. ",TWSE,4904,Communication Services,1997,APAC,5941,BBB-,BBB-,Public Company,3258.5,2.48,9989.8,3078.7,882.0,840.5,387.3,335.3,167.6,1746.7,6334.3,2575.1,2385.2,0.10300000000000001,0.109,2,1013.8,2,417.82,2,8081.08,3.244811121577289,11.885544318857821,25.79344177640072,24.077669902912618
DXC Technology Company ,NYSE,DXC,Information Technology,1959,US/CA,130000,BBB-,BBB-,Public Company,229.9,25.57,9859.0,16265.0,3473.0,2963.0,1480.0,542.0,2672.0,3545.0,20139.0,6168.0,5375.0,2.22,3.84,11,2336.8,7,1222.48,9,5878.543000000001,0.6061481709191515,3.3273709078636515,6.661486486486487,11.518018018018017
"XPO Logistics, Inc. ",NYSE,XPO,Industrials,2000,US/CA,43000,BB,BB,Public Company,115.0,56.95,9858.5,12806.0,2591.0,1355.0,887.0,694.0,260.0,2716.0,8707.0,4498.0,1138.0,6.04,5.83,21,1432.2,16,943.27,16,6549.25,0.7698344526003436,7.275645756457565,11.114430665163473,9.428807947019868
Informa plc ,LSE,INF,Communication Services,1998,EU,9999,BBB-,BBB-,Public Company,1438.1,6.62,9846.4,2435.5,909.9,686.2,346.1,1652.6,1198.1,326.1,13808.2,3153.9,8186.5,1.11,0.34299999999999997,14,794.2,12,700.86,10,9520.222,4.042865941285157,14.349169338385309,28.449581045940477,5.963963963963963
"Mohawk Industries, Inc. ",NYSE,MHK,Consumer Discretionary,1988,US/CA,43000,BBB+,BBB+,Public Company,63.5,115.76,9840.7,11200.6,3256.3,1888.0,1313.0,985.8,268.9,5026.8,14224.5,2726.6,8428.2,14.9,13.7,17,1750.0,13,1146.56,13,7350.76,0.8785868614181384,5.212235169491525,7.494821020563595,7.769127516778524
Leonardo S.p.a. ,BIT,LDO,Industrials,1948,EU,50441,BB+,BB+,Public Company,575.3,8.6,9820.5,16075.3,1629.7,1462.5,1111.2,706.7,2819.3,3016.0,32274.5,6464.2,7341.1,1.23,1.34,7,1786.9,10,1271.69,12,4947.579999999999,0.6109061728241464,6.714871794871795,8.837742980561554,6.991869918699186
MISC Berhad ,KLSE,MISC,Industrials,1968,APAC,8632,BBB+,BBB+,Public Company,4463.7,1.59,9817.5,2561.3,587.9,821.1,400.2,276.9,1586.4,5611.0,13805.7,4138.3,8382.3,0.062,0.084,10,967.2,11,478.16,11,7097.283,3.833014484831921,11.956521739130434,24.531484257871064,25.645161290322584
GATX Corporation ,NYSE,GATX,Industrials,1898,US/CA,1863,BBB,BBB,Public Company,35.3,102.9,9710.5,1257.4,920.5,686.8,309.8,179.5,344.3,302.4,9541.7,6193.6,2019.2,5.06,5.62,4,882.3,3,413.5,4,3632.37,7.722681724192778,14.138759464181714,31.344415752098126,20.335968379446644
Sonoco Products Company ,NYSE,SON,Materials,1899,US/CA,20500,BBB,BBB,Public Company,97.5,65.73,9671.2,5590.4,1313.1,952.9,689.7,423.3,171.0,1621.7,5073.2,1890.7,1849.5,4.31,5.66,8,1137.4,7,803.16,6,6408.675,1.7299656554092733,10.149228670374647,14.022328548644339,15.250580046403714
"Alfa, S. A. B. de C. V. ",BMV,ALFA A,Industrials,1974,LATAM,57467,BBB-,BBB-,Public Company,4833.1,0.699,9668.6,15027.0,3834.7,2247.9,1743.7,405.4,1511.1,4434.5,13126.9,6188.3,2674.1,0.083,0.10400000000000001,6,2171.5,6,1597.53,3,3378.3369000000002,0.643415185998536,4.301169980871035,5.544875838733727,8.42168674698795
Black Hills Corporation ,NYSE,BKH,Utilities,1941,US/CA,2884,BBB+,BBB+,Public Company,65.1,78.41,9654.8,1949.1,757.6,698.8,454.0,266.2,8.92,6449.2,9131.9,4547.1,2887.1,4.15,4.13,7,750.6,3,557.27,5,5104.490999999999,4.953465702118926,13.816256439610761,21.266079295154185,18.893975903614454
"Syneos Health, Inc. ",NasdaqGS,SYNH,Health Care,2010,US/CA,26751,BB,BB,Public Company,102.7,64.98,9653.5,5213.0,1282.6,714.6,471.2,278.1,106.4,432.1,8237.1,3081.2,3412.6,2.69,5.12,10,880.0,9,780.28,5,6673.446000000001,1.8518127757529255,13.508956059333892,20.487054329371816,24.156133828996285
Boyd Gaming Corporation ,NYSE,BYD,Consumer Discretionary,1975,US/CA,15114,BB-,BB-,Public Company,106.8,57.23,9637.9,3369.8,2527.4,1212.4,947.2,557.6,344.6,3278.4,6224.2,3932.5,1538.7,4.95,5.3,9,1196.7,10,891.3,8,6112.164,2.8600807169564955,7.9494391290003295,10.175147804054053,11.561616161616161
The Sage Group plc ,LSE,SGE,Information Technology,1981,EU,11760,BBB+,BBB+,Public Company,1018.6,8.58,9506.8,2492.4,2255.7,632.3,596.8,382.5,746.6,221.4,4494.7,1099.0,1500.0,0.36700000000000005,0.326,16,565.1,15,477.96,14,8739.588,3.814315519178302,15.03526806895461,15.929624664879357,23.378746594005445
DENTSPLY SIRONA Inc. ,NasdaqGS,XRAY,Health Care,1877,US/CA,15000,BBB,BBB,Public Company,215.5,34.76,9491.1,4251.0,2294.0,917.0,575.0,369.0,339.0,966.0,9220.0,2299.0,5043.0,1.69,2.47,13,882.1,9,740.5,10,7490.78,2.2326746647847564,10.350163576881135,16.506260869565217,20.568047337278106
"MDU Resources Group, Inc. ",NYSE,MDU,Industrials,1924,US/CA,16000,BBB+,BBB+,Public Company,203.4,31.43,9470.4,5680.7,1040.8,822.6,505.9,328.2,54.2,5880.5,8910.4,2866.5,3382.9,1.62,2.13,5,929.7,3,608.05,3,6392.862,1.6671184889186192,11.512764405543399,18.71990511958885,19.401234567901234
"Enagás, S.A. ",BME,ENG,Utilities,1972,EU,1386,BBB,BBB,Public Company,261.3,19.22,9441.5,1109.6,969.2,593.2,384.5,231.0,1642.4,4452.6,11229.1,6669.7,3527.4,0.883,1.31,8,791.6,11,471.61,15,5022.186,8.508922134102379,15.916217127444368,24.555266579973992,21.76670441676104
Companhia de Saneamento Básico do Estado de São Paulo - SABESP ,BOVESPA,SBSP3,Utilities,1954,LATAM,12381,BB-,BB-,Public Company,683.5,9.47,9425.4,3498.2,1341.3,1200.2,785.5,465.3,128.9,70.9,9542.1,3181.0,4474.7,0.6809999999999999,0.685,6,1487.8,8,1077.48,10,6472.745000000001,2.6943570979360816,7.8531911348108645,11.999236155315085,13.90602055800294
