Company,Exchange,Ticker,Industry,Year Founded,Locations,Number of Employees,S&P Credit Rating (FC LT),S&P Credit Rating (LC LT),Type,NOSH,Price ($USD),Total Enterprise Value ($USDmm),Total Revenue ($USDmm),Gross Profit ($USDmm),EBITDA ($USDmm),EBIT ($USDmm),Net Income ($USDmm),Cash And Equivalents ($USDmm),"Net Property, Plant & Equipment ($USDmm)",Total Assets ($USDmm),Total Debt ($USDmm),Total Equity ($USDmm),Basic EPS ($USD),EPS - Capital IQ ($USD),EPS - # of Estimates Y+1,EBITDA Estimate ($USDmm),EBITDA - # of Estimates Y+1,EBIT Estimate ($USDmm),EBIT - # of Estimates Y+1,Market Cap ($USDmm),TEV/Revenue,TEV/EBITDA,TEV/EBIT,P/E
"Prologis, Inc. ",NYSE,PLD,Real Estate,1991,US/CA,2053,A,A,Public Investment Firm,740.4,132.78,120731.4,5163.7,4066.9,3735.4,2148.8,3734.4,556.1,45914.4,58486.2,18163.5,37742.2,5.04,3.38,5,4719.3,5,2896.21,3,98310.31199999999,23.38079284234173,32.32087594367403,56.18549888309754,26.345238095238095
Equinor ASA ,OB,EQNR,Energy,1972,EU,21126,AA-,AA-,Public Company,3193.9,41.39,119590.9,90291.0,72552.0,69463.0,60121.0,16241.0,14126.0,62075.0,147120.0,36239.0,39024.0,5.04,7.05,24,86598.7,19,78076.11,20,132195.521,1.324505210929107,1.7216489354044597,1.9891701734834748,8.212301587301587
"Dominion Energy, Inc. ",NYSE,D,Utilities,1983,US/CA,17100,BBB+,BBB+,Public Company,832.5,84.3,115470.0,13964.0,7037.0,7330.0,4385.0,2253.0,283.0,60280.0,99590.0,41433.0,27308.0,2.67,4.29,17,9391.2,7,5729.37,7,70179.75,8.269120595817817,15.753069577080492,26.332953249714937,31.573033707865168
Sanofi ,ENXTPA,SAN,Health Care,1973,EU,95442,AA,AA,Public Company,1254.0,80.18,115187.7,44552.5,30524.8,12568.5,9604.9,6944.4,11484.1,13619.9,136747.4,25491.9,78506.8,5.54,8.12,20,14345.4,17,12914.82,10,100545.72000000002,2.585437405308344,9.164792934717747,11.992597528344907,14.472924187725633
"Netflix, Inc. ",NasdaqGS,NFLX,Communication Services,1997,US/CA,11300,BBB,BBB,Public Company,444.7,233.98,115141.8,29697.8,12609.1,6229.3,5936.9,5094.9,6027.8,3770.0,44584.7,18116.6,15849.2,11.5,9.52,33,6278.6,28,5631.55,37,104050.90599999999,3.877115476567288,18.483906698987045,19.394262999208344,20.346086956521738
"PayPal Holdings, Inc. ",NasdaqGS,PYPL,Information Technology,1998,US/CA,30900,A-,A-,Public Company,1156.5,96.72,113929.3,25371.0,11471.0,4638.0,3694.0,2056.0,5197.0,2568.0,75803.0,9810.0,21727.0,1.76,4.4,44,7052.7,13,6177.21,36,111856.68,4.490532497733633,24.564316515739545,30.84171629669735,54.95454545454545
SAP SE ,XTRA,SAP,Information Technology,1972,EU,110409,A,A,Public Company,1169.0,87.56,110627.1,31663.8,22195.3,6584.8,5358.6,4112.5,10119.4,5572.6,80938.2,17226.2,47222.8,3.49,5.24,22,9774.0,11,8713.3,19,102357.64,3.4938036495935423,16.80037358765642,20.644776620759153,25.088825214899714
"BlackRock, Inc. ",NYSE,BLK,Financials,1988,US/CA,18900,AA-,AA-,Public Investment Firm,150.8,710.6,110600.3,19374.0,9759.0,7853.0,7437.0,5837.0,9072.0,2383.0,152648.0,9332.0,38893.0,38.5,34.4,12,7535.3,3,6501.18,6,107158.48000000001,5.708697223082482,14.083827836495606,14.871628344762673,18.45714285714286
"Automatic Data Processing, Inc. ",NasdaqGS,ADP,Information Technology,1949,US/CA,60000,AA-,AA-,Public Company,415.5,258.21,109445.0,16498.3,7447.1,4372.6,3857.5,2948.9,1436.3,1103.5,63068.2,3590.7,3225.3,7.04,8.0,18,4868.2,11,4383.57,13,107286.25499999999,6.63371377657092,25.029730595069292,28.37200259235256,36.67755681818181
"Mondelez International, Inc. ",NasdaqGS,MDLZ,Consumer Staples,2000,US/CA,79000,BBB,BBB,Public Company,1370.6,64.46,106039.7,28720.0,11325.0,6019.0,4922.0,3863.0,3546.0,9271.0,67092.0,20162.0,28323.0,2.78,2.96,20,6113.5,15,4991.94,17,88348.87599999999,3.692190111420613,17.617494600431964,21.54402681836652,23.18705035971223
